word,synonym,haiku
baggy,loose,"Cloth billows like sails / Room to breathe inside these folds / Comfort over style"
baron,lord,"He surveys his lands / Power built on older power / Titles pass like coins"
basal,fundamental,"At the very root / Where all beginnings are found / Foundation of all"
basil,herb,"Green leaves crushed release / Summer captured in a scent / The kitchen comes alive"
basis,foundation,"Build on solid ground / Everything rests on something / Find your starting point"
batch,group,"Mixed together now / One bowl holds the future bread / Heat transforms the whole"
beech,tree,"Smooth gray bark stands tall / Autumn turns its leaves to gold / Roots drink deep and hold"
befit,suit,"The crown fits her well / Some are born to wear their role / Destiny aligns"
began,started,"The first word was spoke / From nothing something emerged / All things have their dawn"
begat,fathered,"From one came the next / The chain of life extends back / We are someone's hope"
begun,commenced,"No turning back now / The wheel has started to turn / See it through the end"
belle,beauty,"She enters the room / All eyes turn like sunflowers / Grace needs no effort"
berry,fruit,"Small orbs hide in leaves / Sweetness wrapped in tender skin / Summer's tiny gifts"
betel,plant,"Red-stained lips tell tales / Ancient leaf and nut combine / Custom chewed and shared"
bezel,rim,"Metal frames the gem / The setting makes the stone shine / Context is everything"
bible,scripture,"Pages thin as air / Centuries of faith pressed flat / Words outlive their writers"
biddy,hen,"She clucks at the dawn / Feathers ruffled by the breeze / Eggs warm in the straw"
bigot,prejudiced,"Closed eyes see no light / Fear builds walls where doors should be / Hatred starves the soul"
billy,goat,"Horns curve like the moon / He stands on the rocky ledge / King of his small hill"
bingo,game,"Numbers fill the card / One voice calls out victory / Luck finds its moment"
bison,buffalo,"Thunder on the plains / Massive heads bow to the grass / The old herds remember"
bitty,tiny,"Almost nothing there / Yet even the smallest speck / Matters in the whole"
blast,explosion,"The silence then sound / Everything changes at once / Echoes fade to dust"
bleat,cry,"Lamb calls for mother / Across the field the sound floats / She answers in kind"
bless,sanctify,"Hands raised to the sky / Words carry the weight of grace / Sacred made from breath"
blind,sightless,"Darkness has its gifts / Other senses sharpen keen / Touch reads what eyes miss"
blitz,attack,"Swift and without warn / The storm breaks before the calm / Speed decides the day"
bloat,swell,"Fullness past comfort / The body protests excess / Less would have been more"
blood,plasma,"Red river of life / Through every vein it journeys / Carrying our breath"
bloom,flower,"Petals unfurl slow / Color breaks through winter's gray / The garden exhales"
bluer,sadder,"Deeper than before / The sky takes on darker hues / Tears fill what was dry"
bobby,officer,"Walking his beat slow / The uniform tells a tale / Order in footsteps"
boney,skeletal,"Angles sharp as ice / Flesh pulled tight across the frame / Hunger writes its name"
booth,stall,"Small space just for two / The curtain hides our secrets / Voices soft inside"
bosom,chest,"Warmth held close to heart / Where children rest their tired heads / Safety has a place"
botch,bungle,"Thread tangles in knots / What should have been smooth now tears / Try again with care"
boule,ball,"Round and smooth it rolls / The game plays out on the sand / Aim true toward the mark"
bound,tied,"Rope holds fast and true / What is joined cannot break free / Commitment constrains"
bowel,intestine,"Deep within we churn / The body's hidden labor / Life processes life"
brawl,fight,"Fists fly in the night / Words failed where violence speaks / Nobody wins here"
brick,block,"Clay fired into stone / Wall by wall the house takes shape / Red strength stacked with care"
broil,grill,"Heat rises intense / The flame kisses tender flesh / Char marks tell the time"
brood,dwell,"Dark thoughts circle round / The mind returns to its wound / Let it go or drown"
brunt,impact,"She bore the worst blow / Standing when others had fled / Courage costs the most"
budge,move,"Stubborn as the rock / Yet even mountains shift slow / Nothing stays unmoved"
burst,explode,"Pressure finds release / What held so tight now breaks free / Scatter to the wind"
bused,transported,"Yellow carries hope / Children cross the county lines / Education moves"
bushy,thick,"Wild and uncontained / The hedge grows past its borders / Nature won't be trimmed"
butte,mesa,"Flat top meets the sky / The desert carved this monument / Stone defies the wind"
buxom,curvy,"Generous her form / Beauty comes in many shapes / Soft abundance shines"
buyer,purchaser,"Money changes hands / Someone's need meets someone's want / Commerce makes its match"
bylaw,rule,"Written in the books / The small print governs the whole / Details hold the power"
cabal,conspiracy,"Whispers in dark rooms / Plans hatched away from the light / Secret hands shake hands"
cabby,driver,"He knows every street / The city mapped in his mind / Meter ticks away"
cabin,cottage,"Log walls hold the cold / Smoke rises from the chimney / Simple shelter waits"
caddy,carrier,"Clubs rest on her back / Across the fairway she walks / The game rides along"
cagey,evasive,"He won't meet my eyes / Answers dance around the truth / What hides behind words"
cairn,marker,"Stones stacked by the trail / Those who came before us marked / Follow their footsteps"
canal,waterway,"Still water connects / Cities drink from distant lakes / Commerce floats on through"
caput,head,"All roads lead to here / The crown sits upon this peak / Command flows below"
caste,class,"Born into a box / The walls rise before first breath / Some doors never open"
cavil,quibble,"Small objections rise / Missing forest for the trees / Let the big things pass"
cello,instrument,"Deep voice made of wood / The bow draws tears from the strings / Music mourns and soars"
chaff,husk,"Wind separates worth / The light and worthless blow free / Grain remains behind"
chasm,gorge,"The earth splits apart / Too far to jump too deep to climb / Some gaps cannot close"
chess,game,"Silent war unfolds / Each piece holds its destiny / The king must not fall"
chick,nestling,"Yellow fluff peeps loud / New to the world and hungry / Life begins so small"
chide,scold,"Sharp words meant to teach / The sting fades but lessons stay / Love can sound like this"
chili,pepper,"Fire in a pod / The tongue burns then craves for more / Heat becomes the taste"
china,porcelain,"Thin as paper white / Handle with the gentlest touch / Beauty breaks so fast"
chuck,toss,"Out it goes with force / No need for what we discard / Lighter without it"
chump,fool,"He trusted too quick / The con saw him coming far / Wisdom costs tuition"
churn,agitate,"Round and round it turns / Cream becomes something thicker / Change through repetition"
clack,click,"Heels on marble floors / The sharp sound announces her / Rhythm of arrival"
claim,assert,"This belongs to me / Words stake out their territory / Ownership declared"
clang,ring,"Metal strikes metal / The bell tower wakes the town / Sound shakes through my bones"
clank,rattle,"Chains drag on the floor / The machinery protests / Rust speaks in its voice"
clasp,grip,"Fingers interlock / What joins us holds through the storm / Don't let go just yet"
cleat,spike,"Grip the muddy ground / Traction when the field turns slick / Footing wins the game"
cliff,precipice,"Edge of everything / One step more and gravity wins / Beauty laced with fear"
clink,tinkle,"Glasses touch in toast / Crystal voices celebrate / To what lies ahead"
clout,influence,"He moves without moving / A word shifts the whole room's weight / Power wears no crown"
clued,informed,"Now I understand / The pieces finally connect / Mystery dissolves"
clump,cluster,"Together they grow / Strength found in the gathering / None stands quite alone"
cobra,snake,"Hood spreads like a fan / Death waits coiled in the basket / Respect the serpent"
color,hue,"The world painted bright / Each shade carries emotion / Gray would not suffice"
comic,funny,"Laughter fills the void / In absurdity we heal / Joy needs its release"
conch,shell,"Hold it to your ear / The ocean trapped inside speaks / Waves from far away"
copse,grove,"Small stand of trees waits / Not quite a forest but close / Shade enough for rest"
couch,sofa,"Cushions welcome weight / The day's exhaustion lands here / Rest in soft embrace"
cough,hack,"Lungs clear what they can / The body knows its business / Illness speaks aloud"
coupe,car,"Two doors sleek and fast / The road opens just for us / Wind in our hair flies"
covey,flock,"Quail burst from the brush / Wings beat the air all at once / Scatter then regroup"
crack,split,"The surface gives way / What seemed solid now divides / Pressure finds its fault"
crash,collision,"Metal meets metal / Time stops in the moment of impact / Glass falls like rain"
creed,belief,"Words I live my life by / Written on the heart not page / Faith distilled to bone"
creek,stream,"Water finds its way / Stones polished by persistence / The small stream carves deep"
creep,crawl,"Slow across the floor / Movement almost undetected / Patience stalks its prey"
creme,cream,"Silk upon the tongue / Richness smoothed to perfection / Indulgence refined"
cress,plant,"Peppery and fresh / Small leaves pack a potent bite / Gardens yield surprise"
crick,kink,"Neck won't turn today / Slept wrong and now paying dues / Bodies keep their score"
cried,wept,"Salt streaks down the face / Release comes in liquid form / Let the grief flow out"
crier,weeper,"Her tears speak for us / Sometimes one must cry for all / Shared sorrow heals"
crock,pot,"Clay holds what simmers / Slow cooking unlocks the taste / Time is ingredient"
crony,pal,"Old friends from the start / They've seen each other at worst / Loyalty runs deep"
croup,illness,"The bark in the night / Small chest heaves for precious air / Steam brings some relief"
crude,raw,"Unrefined but real / Polish hides but doesn't change / The rough holds the true"
cruel,harsh,"Pain dealt without need / Some wounds serve no purpose known / Why hurt what you can"
crump,thud,"The shell hits the ground / Sound that rattles through the bones / War's terrible voice"
cubic,boxed,"Three dimensions meet / Space contained in equal sides / Geometry's gift"
curry,spice,"Gold in every bite / Heat blooms on the grateful tongue / Flavor tells its tale"
curvy,shapely,"Roads wind like her form / No straight lines in nature's work / Bend and flow and sweep"
cutie,darling,"Sweet face lights the room / Charm needs no explanation / Hearts melt at the sight"
cycle,loop,"Round and round again / What goes comes back in its time / The wheel never stops"
daily,everyday,"Sun rises then sets / Between those points we make life / Small rituals hold"
dairy,milk,"White flows from the pail / The barn smells of hay and warmth / Cream rises on top"
dealt,distributed,"Cards face down they wait / Fate handed out one by one / Play what you receive"
debar,exclude,"The door shuts him out / Entry denied without cause / Walls built by decree"
decor,design,"Each piece placed just so / The room tells a story whole / Beauty in the plan"
deign,condescend,"She lowered her gaze / A favor from on high falls / Gracious in her way"
demon,devil,"Darkness takes a form / Temptation wears many masks / Fight what haunts within"
demur,object,"She paused before yes / Hesitation spoke volumes / Not quite ready yet"
dense,thick,"Fog fills every space / Nothing moves through such fullness / Wait for it to clear"
derby,race,"Hats and horses run / Tradition bets on speed today / The favorite falls"
dilly,delay,"Stop your stalling now / Time wastes while you hesitate / Act or lose your chance"
dimly,faintly,"Light struggles to reach / Shadows claim most of the room / Just enough to see"
diode,component,"Current flows one way / The small part keeps order true / Circuits obey laws"
dirty,filthy,"Mud cakes on my hands / Honest work leaves its own mark / Clean comes after done"
ditch,trench,"Carved beside the road / Water knows to follow here / Channels guide the flow"
diver,swimmer,"She breaks the surface / Down into the blue unknown / Lungs hold precious air"
dizzy,lightheaded,"The room starts to spin / Ground uncertain beneath feet / Balance abandons"
dodgy,shady,"Something's off with him / Trust your gut when it warns you / Not all smiles are kind"
dowdy,frumpy,"Fashion passed her by / But comfort wraps her just right / Style is what you make"
downy,fluffy,"Soft as clouds might be / Feathers light as whispered words / Gentle touch awaits"
drake,duck,"He leads across ponds / Green head gleams in morning light / Proud among his flock"
drama,theatre,"All the world's a stage / We speak lines we didn't write / Curtain falls on all"
drank,sipped,"The glass emptied slow / Thirst satisfied drop by drop / Nothing left but dregs"
drawl,accent,"Words stretched long and slow / The south lives in how she speaks / Time moves differently"
dress,gown,"Fabric falls just right / She becomes another self / Clothes make the moment"
dried,parched,"All moisture has fled / What was supple now cracks thin / Thirst remembers wet"
drier,dryer,"Heat spins through the drum / Damp surrenders to the warmth / Clothes emerge renewed"
droit,right,"By law it is mine / What is owed cannot be kept / Justice must be served"
dross,waste,"Skim the worthless off / What remains is pure and true / Refining takes heat"
drown,sink,"Water fills the lungs / The surface grows far away / Reach for any hand"
druid,priest,"Oak groves hold their rites / Ancient wisdom speaks through trees / The old gods still hear"
drunk,intoxicated,"The room tilts and sways / Words slur into one another / Morning will exact"
dryly,sarcastically,"Not a smile in sight / Yet humor cuts through his words / Wit needs no fanfare"
dully,blankly,"Eyes without their light / Going through expected motions / The spark has gone dim"
dumpy,squat,"Low and wide she stands / No elegance to her form / Sturdy serves its purpose"
dunce,fool,"Cap upon his head / The corner knows him too well / Learning takes more forms"
dusky,dim,"Light fades to purple / Day hands off to coming night / The between hour calls"
dusty,grimy,"Years settle in gray / What once shone now hides beneath / Neglect has its coat"
dying,fading,"Breath comes shallow now / The light dims behind tired eyes / What remains is love"
eaten,consumed,"Nothing left on plate / What was whole has disappeared / Appetite fulfilled"
eater,consumer,"Jaws work through the pile / Fuel enters the machine / Living requires this"
eclat,brilliance,"She dazzles the room / Success worn with confidence / Shine cannot be taught"
eerie,spooky,"Something's watching here / The hairs rise on my neck slow / Trust that ancient fear"
eight,number,"Two fours make this whole / Infinity laid on its side / Count and count again"
eking,scraping,"Barely enough here / Stretch what little remains far / Survive day by day"
elect,choose,"The vote has been cast / Power transfers by our will / We chose this ourselves"
elegy,lament,"Words for the departed / Grief shaped into something shared / Memory preserved"
elfin,fairylike,"Small and strange and bright / She moves like she's not quite here / Magic in her step"
elide,omit,"Skip the middle part / Some details need not be said / Less can still mean more"
embed,implant,"Deep into the stone / The jewel will not be removed / Fixed in its new home"
emcee,host,"He works the whole room / Between acts he fills the space / The show flows through him"
enemy,foe,"Once we might have been friends / Now walls stand where bridges should / How did we get here"
entry,access,"The door opens wide / What was closed now invites in / Crossing the threshold"
envoy,diplomat,"She speaks for her king / Words carefully weighed and sent / Peace hangs on her tongue"
erect,upright,"Standing tall and true / What was flat now reaches up / Pride in the posture"
ester,compound,"Chemistry at work / Molecules arrange and bond / Scent rises from labs"
etude,study,"Fingers drill the scales / Repetition builds the skill / Practice makes the art"
evict,expel,"Belongings on curb / Home was here now home is not / The lock has been changed"
eying,watching,"Her gaze doesn't move / Taking measure of the scene / Interest barely hid"
fable,tale,"Animals can speak / In stories teaching us truths / The moral remains"
fairy,sprite,"Wings catch morning light / She dances on flower heads / Magic hides in small"
fanny,bottom,"Cushion for the fall / Everyone sits down sometime / Humble anatomy"
fatal,deadly,"No recovery now / The line has been crossed for good / Some mistakes end all"
fatty,greasy,"Richness coats the tongue / The body stores what it can / Excess has its weight"
fauna,animals,"Creatures fill the woods / Each one plays its given role / Life in every form"
fecal,waste,"What the body leaves / Nature's cycle closes here / Soil feeds on this"
fella,guy,"Hey there stranger friend / No name needed to connect / We recognize kin"
felon,criminal,"The record follows / One mistake writes many doors closed / Past chains to present"
femme,woman,"She owns who she is / Power worn in how she moves / Feminine and fierce"
femur,bone,"The longest one stands / Holding up the weight of life / Strong core deep inside"
fence,barrier,"Wood slats mark the line / Here is mine and there is yours / Boundaries make neighbors"
fetal,prenatal,"Curled tight in the dark / Becoming who they will be / Life before first breath"
ficus,plant,"Green leaves fill the pot / The corner office comes alive / Nature brought indoors"
fiery,blazing,"Heat rolls off in waves / Passion burns too hot to touch / Intense and alive"
fight,battle,"Fists or words or will / The struggle defines the self / Stand for something now"
filer,clerk,"Papers sorted neat / Each one finds its proper place / Order made by hand"
filly,mare,"Young hooves test the ground / All energy and no fear / Speed before wisdom"
filmy,thin,"Light passes right through / Almost nothing stands between / Sheer as morning mist"
filth,grime,"Layer upon layer / What was clean now buried deep / Dirt claims everything"
fizzy,bubbly,"Bubbles race to top / The glass sparkles with their flight / Effervescence sings"
flack,criticism,"The shots keep coming / Every choice draws someone's fire / Stand behind your work"
flaky,crisp,"Layers separate / Butter worked into the dough / Pastry shatters sweet"
fleck,speck,"Tiny marks of light / Scattered on the darker field / Stars in miniature"
fleet,swift,"Quick as thought she moves / Here and gone before I blink / Speed leaves no footprints"
flier,pilot,"Above the clouds float / Earth shrinks to a patchwork quilt / Sky belongs to few"
fluid,liquid,"It takes the shape given / Flowing finds the lowest point / Water has no form"
fluke,chance,"Luck more than skill won / Sometimes fortune finds the fool / Don't expect it twice"
flush,blush,"Heat rises to cheeks / The body betrays the heart / Pink tells the story"
fraud,fake,"Nothing as it seems / The surface hides rotten core / Truth exposes all"
freak,oddity,"Different from the rest / What seems strange just hasn't fit / Normal is a cage"
freed,released,"Chains fall to the ground / What held tight finally lets go / The first free breath burns"
freer,liberated,"More room to breathe now / Each shed burden lightens step / The cage shrinks away"
friar,monk,"Brown robe worn by faith / Simple life of prayer and work / God in every hour"
frisk,search,"Hands pat down the coat / Looking for what might be hidden / Trust but verify"
fruit,produce,"Sun made this sweetness / Seeds wrapped in tempting bright flesh / Eat and spread the life"
fudge,candy,"Brown squares melt on tongue / Chocolate made for forgiveness / Sweetness with intent"
furor,uproar,"The crowd loses calm / Anger spreads like wildfire burns / Rage demands its voice"
furry,fuzzy,"Soft coat begs for touch / The animal warmth beneath / Comfort wrapped in fur"
fussy,picky,"Nothing quite suits her / Each choice met with small objection / Hard to please today"
gaffe,blunder,"The wrong word escaped / No taking back what was said / Damage done by tongue"
gaily,joyfully,"Light step through the day / Nothing weighs her spirits down / Joy worn like bright clothes"
gassy,bloated,"The belly protests / Air trapped where it shouldn't be / Discomfort rumbles"
gavel,mallet,"Wood strikes wood with force / Order called from chaos loud / The judge decides now"
gayer,happier,"Brighter than before / The mood lifts like rising sun / Lighter hearts prevail"
gayly,merrily,"Whistling down the road / Not a care to slow her down / Happiness in motion"
gazer,watcher,"Eyes fixed on the stars / Lost in the vast dark above / Wonder holds her still"
geeky,nerdy,"Passion without shame / Deep dives into what he loves / Cool is what you make"
gipsy,nomad,"No roots tie her down / Home is where the wagon stops / Freedom has its cost"
girly,feminine,"Pink bows in her hair / Softness as strength in its way / She owns what she is"
giver,donor,"Open hands reach out / What I have flows forth freely / Abundance shares best"
glint,sparkle,"Light catches the edge / Brief flash then gone again quick / Beauty in instants"
gloss,shine,"Surface smooth and bright / Reflection shows back my face / Polish hides the rough"
godly,pious,"Faith shapes every act / The divine fills daily life / Heaven in the small"
golly,gosh,"The soft exclamation / Surprise without harsh edges / Wonder still exists"
gonad,gland,"Deep inside they work / Biology's factory hums / Life begins in here"
gourd,squash,"Hard shell soft inside / Autumn brings them to the table / Orange abundance waits"
grape,berry,"Clusters hang in sun / Wine waits inside purple skin / Sweetness on the vine"
grass,lawn,"Green carpet spreads wide / Beneath bare feet cool and soft / Earth's simplest pleasure"
graze,browse,"Heads down in the field / Slow wandering meal unfolds / Eating as they go"
grill,barbecue,"Flames lick at the meat / Summer smoke fills the backyard / Gathering around"
grope,fumble,"Reaching in the dark / Hands search for what cannot see / Touch finds its own way"
grunt,groan,"Sound without real words / The body voices effort / Strain speaks through the throat"
guava,fruit,"Tropical pink flesh / Sweetness from warmer places / Paradise in bite"
guilt,shame,"Weight that will not lift / The mind circles back to wrong / Conscience keeps its score"
gulch,ravine,"Water carved this deep / The earth split by patient flow / Canyons start as cracks"
gumbo,stew,"Everything goes in / Flavors mix in the dark roux / Louisiana sings"
gusto,enthusiasm,"All in every time / Half measures don't satisfy / Live with the full heart"
gypsy,wanderer,"Roads call her away / Settling means slowly dying / Freedom in motion"
harem,quarters,"Behind veiled walls waits / Lives lived in gilded cages / Beauty kept from view"
harpy,shrew,"Claws sharp as her tongue / Nothing escapes her critique / Fury given form"
hasty,rushed,"Too fast out the door / Forgot what shouldn't be missed / Slow down just a bit"
haute,elegant,"The highest fashion / Only the finest will do / Taste costs everything"
hedge,shrub,"Green walls of the yard / Trimmed into perfect order / Nature trained to please"
hippy,bohemian,"Flowers in her hair / Peace signs and tie-dye proclaim / Love as revolution"
hoist,lift,"Muscles strain and pull / Heavy things must still be moved / Up and over now"
honor,respect,"A word means a bond / What is promised must be kept / Character is all"
horny,lustful,"The body wants what it wants / Desire speaks its own language / Heat that must be cooled"
hotly,heatedly,"Words fly like sparks / The argument burns bright now / Cool heads have all left"
humus,soil,"Dark rich earth gives life / Dead things become growing things / The ground remembers"
husky,burly,"Built for northern cold / Thick through and strong as the wind / Size for the labor"
hussy,flirt,"They whisper her name / But she owns how she is seen / Judgment says more of them"
hydro,water,"Power from the falls / Rivers turned to electricity / Nature harnessed flows"
hymen,membrane,"Guarded with such weight / Biology becomes myth / Bodies just are bodies"
icily,coldly,"Her voice froze the room / Not a trace of warmth to find / Winter in each word"
idiot,fool,"Wisdom passed him by / The lesson just won't stick / Some learn the hard way"
idyll,pastoral,"Perfect simple day / No complication intrudes / Peace in the meadow"
iliac,pelvic,"Deep bones hold us up / The cradle of our standing / Structure hidden firm"
imply,suggest,"Not said but still there / Between the lines meaning hides / Listen for the soft"
ingot,bar,"Gold poured into mold / Wealth takes solid form to hold / Heavy is the rich"
inlet,cove,"Water cuts through land / The ocean finds its finger hold / Sheltered from the waves"
jetty,pier,"Stones stacked against sea / A place to stand and cast from / Where land argues waves"
joist,beam,"Hidden but holding / The ceiling rests on these backs / Strength built into bones"
juicy,succulent,"Liquid fills the bite / Dripping down the grateful chin / Ripe at its best now"
jumbo,huge,"Bigger than all else / The elephant fills the room / Size makes its own rules"
junta,regime,"Generals now rule / Power taken not given / The vote has been silenced"
junto,faction,"Small group pulls the strings / Behind doors the deals are made / Power likes shadows"
juror,panelist,"Twelve sit in judgment / The facts weighed and measured fair / Fate decided here"
kappa,letter,"Greek shapes fill the page / Symbols carry meaning old / Alphabets persist"
kinky,curly,"Twisted tight on tight / Hair has its own ideas / Let it be itself"
kitty,cat,"Soft paws pad the floor / Eyes gleam in the darkened room / Hunter made tiny"
kneed,struck,"The blow finds its mark / Down she goes grabbing the joint / Cheap shot but effective"
laden,loaded,"Heavy hangs the branch / Fruit weighs down what bore it forth / Abundance bends things"
lance,spear,"The knight lowers point / Across the field they will meet / Steel decides the day"
latch,lock,"Click and it holds fast / Security in small things / Keep what's yours inside"
leant,tilted,"She bent toward his words / Angles of attention shift / Body follows mind"
legal,lawful,"The papers are signed / What is permitted proceeds / Rules define the game"
leper,outcast,"Skin marks him apart / Society fears the different / Loneliness as curse"
liege,lord,"To you I am sworn / My service for your protection / Loyalty binds both"
liken,compare,"This reminds of that / Connections help us understand / Similarity teaches"
lipid,fat,"Cells need this to live / Membranes built from what we eat / Biology stores"
loamy,earthy,"Rich soil crumbles dark / Everything grows better here / Gardens bless this ground"
loath,reluctant,"I'd rather not / Resistance pulls against push / Unwilling but bending"
lobby,hall,"Waiting in between / Not quite in not yet leaving / Space before the space"
login,access,"Fingers type the words / The door opens to my world / Identity proven"
loose,slack,"Not tight enough now / Room where there should be tension / Things slip through these gaps"
lorry,truck,"Big wheels roll on through / Cargo headed somewhere else / Commerce never stops"
lumen,light,"Measure of the glow / How bright the bulb burns tonight / Quantify the shine"
lupus,disease,"The body attacks self / Confusion in the defenses / Healing turns to harm"
lurch,stagger,"Off balance she goes / The ground shifts beneath her feet / Catch yourself or fall"
lymph,fluid,"Silent rivers flow / Carrying defense through flesh / Immunity rides"
lyric,words,"Sung rather than said / Meaning wrapped in melody / Poetry takes flight"
macro,large,"The big picture shows / Step back to see the whole thing / Details matter less"
mafia,syndicate,"Family means blood / And blood means debts to be paid / Loyalty or else"
mamma,mother,"First word on small lips / She gave everything she had / Love without measure"
mammy,nanny,"She raised other children / Her own waited for her return / Service before self"
mange,infection,"Fur falls in patches / The poor creature scratches raw / Sickness shows itself"
mangy,scruffy,"Rough around all edges / No one has cared in too long / Neglect has its look"
manic,frenzied,"Energy that burns / Too much too fast without rest / The crash will come soon"
meaty,substantial,"Something to chew on / Not empty or light or thin / Weight in the content"
mecca,destination,"All roads lead to here / The faithful turn their faces / Pilgrimage calls home"
melee,brawl,"Everyone at once / No order just collision / Chaos rules the fight"
milky,creamy,"White flows through the glass / Smooth and rich and comforting / Childhood in liquid"
minim,note,"Shortest sound allowed / Music made from tiny breaths / Brief but necessary"
minor,small,"Not yet full grown yet / Size will come but not today / Patience fills the wait"
miser,hoarder,"Gold stacked but not spent / Wealth without pleasure is prison / Fear starves the spirit"
missy,girl,"Mind your manners now / Age speaks down to youth so quick / Respect goes both ways"
mocha,coffee,"Dark and sweet combined / Chocolate meets the bitter bean / Morning indulgence"
mogul,tycoon,"He owns what you rent / Power built from clever deals / Money makes more money"
moody,temperamental,"Clouds shift on her face / No telling which way the wind blows / Careful how you step"
moron,idiot,"The word wounds on purpose / Cruelty dressed as assessment / Mean serves no one well"
morph,transform,"Shape shifts to new shape / What was becomes something else / Change in its purest form"
motif,pattern,"The theme repeats here / Recognition builds meaning / Echoes form the whole"
mound,hill,"Earth piled for purpose / Small rise on the otherwise flat / Pitchers know this spot"
mover,hauler,"Strong back lifts the couch / One place becomes another / Transition requires hands"
mower,cutter,"Blades spin through the green / The yard transformed row by row / Grass falls into order"
mucus,phlegm,"The body's defense / Thick barrier against invaders / Unpleasant but needed"
muddy,murky,"Brown swirls hide the bottom / Clarity lost to the churn / Wait for settling"
murky,dark,"Can't see what lurks below / Unknown depths breed unknown fears / Light would help so much"
musky,scented,"The animal smell / Something primal in the note / Attraction's signature"
myrrh,resin,"Gift of ancient kings / Incense from another time / Sacred smoke rises"
newer,fresher,"This one just arrived / The old makes way for the young / Update in progress"
newly,recently,"Just happened it seems / The paint still wet on this one / Fresh from the beginning"
niece,relative,"Brother's little girl / Family extends through her / The line continues"
ninny,simpleton,"Bless her simple heart / Not much going on upstairs / Kindness still remains"
nobly,honorably,"He did the right thing / Cost him plenty but still stood / Character in action"
noose,loop,"The rope knows one shape / Tightening around what's caught / Danger in the circle"
nosey,prying,"Her ears everywhere / No business escapes notice / Boundaries mean nothing"
notch,groove,"Cut into the wood / Each mark counts what came before / History in scratches"
nutty,crazy,"Sensible has left / What remains makes its own rules / Logic takes a break"
oaken,wooden,"Strong as the old tree / Built to last the generations / Solid to the core"
obese,overweight,"The body carries / More than the frame was built for / Health struggles beneath"
octal,base,"Eight is the foundation / Numbers arranged differently / Counting has choices"
odder,stranger,"Weirder than before / Each new quirk adds to the pile / Normal fades away"
olden,ancient,"Days before these days / When things were done differently / The past holds its ways"
ombre,gradient,"One shade becomes next / Colors blend without borders / Transition is art"
opium,narcotic,"The poppy's dark gift / Dreams that extract heavy price / Pleasure turns to chains"
optic,visual,"The eye takes it in / Light becomes information / Seeing is knowing"
orbit,circuit,"Round and round again / Captured by the greater pull / Paths written in curves"
outgo,expense,"More flows out than in / The balance tips the wrong way / Spending must be checked"
